name,location,cost,image1,image2,image3,number
Prodej bytu 2+kk 74 m²,"Petrohradská, Praha 10 - Vršovice",14 949 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QP_LI/9dYMTa.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_KE/4WpMbA.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_KA/Ar5Mps.jpeg?fl=res,400,300,3|shr,,20|jpg,90",52
Prodej bytu 2+kk 52 m²,"Křižovnická, Praha - Staré Město",Info o ceně u RK,"https://d18-a.sdn.cz/d_18/c_img_QN_KD/tosB4uM.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_MK/d4DB4vM.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_KD/bMZB4uJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",53
Prodej bytu 4+1 91 m²,"Toužimská, Plzeň - Bolevec",6 290 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QI_Jo/mzCSQT.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Ju/mD6SLa.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Jt/P1dSf7.jpeg?fl=res,400,300,3|shr,,20|jpg,90",54
Prodej bytu 3+kk 98 m²,"Kadečkové, Praha 9 - Letňany",15 900 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QK_Js/rU4Bke8.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lp/XPsBkPv.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Js/SZBBke9.jpeg?fl=res,400,300,3|shr,,20|jpg,90",55
Prodej bytu 2+kk 69 m²,"Lannova, Praha 1 - Nové Město",12 300 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QI_Jn/3VKBkQP.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QP_LH/37TBkHc.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_MK/HMzBkZJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",56
Prodej bytu 2+kk 44 m²,"Hornoměcholupská, Praha 10 - Horní Měcholupy",6 990 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QO_K7/9JnBkSH.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K7/FAIBkSI.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QL_J9/JbyBkYQ.jpeg?fl=res,400,300,3|shr,,20|jpg,90",57
Prodej bytu 5+kk 113 m²,"Čelákovice, okres Praha-východ",9 111 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jr/KPd4IP.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QO_K5/UVuBMzE.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QR_MJ/zgNrsu.jpeg?fl=res,400,300,3|shr,,20|jpg,90",58
Prodej bytu 3+1 60 m²,"5. května, Kladno - Kročehlavy",3 300 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QI_Jk/CNvBmH2.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QI_Jk/YJpBmH4.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QJ_Jq/tJeBlaG.jpeg?fl=res,400,300,3|shr,,20|jpg,90",59
Prodej bytu 3+kk 69 m²,"Bechlínská, Praha 9 - Letňany",8 700 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/N28MIo.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QN_KE/QT2MFP.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QQ_Lq/jm4MAx.jpeg?fl=res,400,300,3|shr,,20|jpg,90",60
Prodej bytu 3+kk 74 m²,"Vojtova, Brno - Štýřice",5 680 000 Kč,"https://d18-a.sdn.cz/d_18/c_img_QN_KD/IAcB4Zf.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QK_Js/q5mB4ke.jpeg?fl=res,400,300,3|shr,,20|jpg,90","https://d18-a.sdn.cz/d_18/c_img_QM_Ko/g90B4eX.jpeg?fl=res,400,300,3|shr,,20|jpg,90",161
